StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Q2B-T_First Click,Q2B-T_Last Click,Q2B-T_Page Submit,Q2B-T_Click Count,Q2C-T_First Click,Q2C-T_Last Click,Q2C-T_Page Submit,Q2C-T_Click Count,Q2D-T_First Click,Q2D-T_Last Click,Q2D-T_Page Submit,Q2D-T_Click Count,Q2E-T_First Click,Q2E-T_Last Click,Q2E-T_Page Submit,Q2E-T_Click Count,FC-B_1,FC-B_2,FC-B_3,FC-C_1,FC-C_2,FC-C_3,FC-C_4,FC-D_1,FC-D_2,FC-D_3,FC-E_1,FC-E_2,FC-E_3,FC-E_4,Q3-FC2,UBI-2_NPS_GROUP,UBI-2,Age,Gender,Urban,PoliSpect,UBI-F,CR-F,CR-A,Random ID,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for participating in our survey!
The study will take approximately 3-4 minutes to complete.
Before you start, please switch off your phone, text / e-mail alerts, and other sources of distraction so you can focus on this study. 
Please enter or confirm your Prolific ID here:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt repulsed by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt repulsed by the pictures and events told in the first part of the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in first part of the story.,Please describe your feelings about the story you just read. - I felt relieved after reading the conclusion of the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt a sense of pain/sorrow by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in the story.,Please describe your feelings about the story you just read. - I could see myself as the person reacting to events in the story.,Please describe your feelings about the story you just read. - I felt a sense of pain/sorrow by the pictures and events told in the first part of the story.,Please describe your feelings about the story you just read. - I felt a sense of injustice by the pictures and events told in first part of the story.,Please describe your feelings about the story you just read. - I felt relieved after reading the conclusion of the story.,Briefly describe what made you feel this way.,To what degree would you support the concept of Universal Basic Income? - Group,To what degree would you support the concept of Universal Basic Income?,What is your age?,What is your gender or the gender you identify with the most?,Which of the following best describes the area where you live?,"On the following scale, please choose how you rate your political orientation.","Thank you for participating in our survey.
To what degree were you familiar with Universal Basic Income  (UBI) before participating in this survey?",Would you like to send a letter to your congressional representative describing your support for Universal Basic Income ?,Would you like to send a letter to your congressional representative describing your position against Universal Basic Income?,Random ID,PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID110_5""}","{""ImportId"":""QID110_12""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID111_7""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_5""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID114_9""}","{""ImportId"":""QID114_2""}","{""ImportId"":""QID114_3""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID70_NPS_GROUP""}","{""ImportId"":""QID70""}","{""ImportId"":""QID172807739""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID117""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""Random ID""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2019-11-19 23:13:45,2019-11-19 23:14:36,IP Address,23.241.163.162,100,50,TRUE,2019-11-19 23:14:37,R_10qm2YED9tH1QuB,,,,,34.26019287,-118.5787048,anonymous,EN,5d4c5f770051fe0001fbf22e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoter,10,35 - 44,Female,Suburban,Liberal,Extremely familiar,Probably yes,,865970148,5d4c5f770051fe0001fbf22e,5dd4a34135582248315dfdca,5dd4d985535a7149f89b37e2
2019-11-19 23:15:13,2019-11-19 23:16:33,IP Address,73.2.35.155,100,80,TRUE,2019-11-19 23:16:34,R_x9mbOXB0blegvCN,,,,,38.5447998,-121.7447968,anonymous,EN,5dac11ae4f3f0100165adcbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passive,7,18 - 24,Female,Suburban,Very Liberal,Very familiar,Probably not,,867932258,5dac11ae4f3f0100165adcbf,5dd4a34135582248315dfdca,5dd4d9e8e05cad4a97979abf
2019-11-19 23:16:02,2019-11-19 23:16:50,IP Address,172.115.26.214,100,47,TRUE,2019-11-19 23:16:50,R_3OrBv1Bzrja8BB6,,,,,34.18670654,-118.3878021,anonymous,EN,5dbc5b95e2fafc1f58570e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoter,10,25 - 34,Male,Urban,Liberal,Not familiar at all,Might or might not,,811662933,5dbc5b95e2fafc1f58570e23,5dd4a34135582248315dfdca,5dd4da1db043894961905e35
2019-11-19 23:15:17,2019-11-19 23:17:12,IP Address,172.2.58.14,100,115,TRUE,2019-11-19 23:17:13,R_3L6GaCCAtPqQXcj,,,,,34.229599,-80.71469879,anonymous,EN,5ac54531e1546900019c0487,,,,,,,,,0,0,42.228,0,,,,,,,,,,,,None at all,None at all,A moderate amount,,,,,"I feel that's such a trivial thing to worry about, but then most children do so. It doesn't give me a sense of attachment or emotion, just slight annoyance.",Promoter,10,18 - 24,Female,Rural,Very Liberal,Moderately familiar,Definitely not,,586617998,5ac54531e1546900019c0487,5dd4a34135582248315dfdca,5dd4d9f1cf08aa4aa8e5ba58
2019-11-19 23:16:43,2019-11-19 23:17:44,IP Address,91.207.175.166,100,61,TRUE,2019-11-19 23:17:44,R_2awy94JOdqt8RXG,,,,,34.05490112,-118.2577972,anonymous,EN,559d2afefdf99b7e8b68211a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Promoter,10,35 - 44,Male,Suburban,Liberal,Extremely familiar,Definitely yes,,492862272,559d2afefdf99b7e8b68211a,5dd4a34135582248315dfdca,5dd4da3bfce60649be80b80a
2019-11-19 23:15:27,2019-11-19 23:18:12,IP Address,24.190.62.103,100,164,TRUE,2019-11-19 23:18:12,R_1n167TJuYig0pX7,,,,,40.94769287,-74.06719971,anonymous,EN,5db1fbf417a1390054114ee9,0,0,19.268,0,,,,,,,,,,,,,A little,A moderate amount,A great deal,,,,,,,,,,,,The pictures and description show people living in conditions they should not have to suffer through. Bare minimum essentials of food and shelter should be a guaranteed right for ALL people,Promoter,9,35 - 44,Female,Suburban,Very Liberal,Moderately familiar,Probably yes,,299126825,5db1fbf417a1390054114ee9,5dd4a34135582248315dfdca,5dd4d9fb3683dc48ea19a879
2019-11-19 23:16:39,2019-11-19 23:18:14,IP Address,96.77.224.122,100,94,TRUE,2019-11-19 23:18:14,R_RDIUfDW5wSoiAO5,,,,,38.69749451,-121.2714005,anonymous,EN,5aa5e1c61eda41000136d40c,1.015,23.175,28.292,2,,,,,,,,,,,,,A great deal,A lot,A great deal,,,,,,,,,,,,These people need help and I can't do anything about it,Promoter,9,25 - 34,Male,Suburban,Very Liberal,Very familiar,Probably not,,113085586,5aa5e1c61eda41000136d40c,5dd4a34135582248315dfdca,5dd4da429b66eb4b88968779
2019-11-19 23:17:08,2019-11-19 23:18:34,IP Address,172.119.242.95,100,86,TRUE,2019-11-19 23:18:34,R_33Bb3tNAFNkboS1,,,,,34.01210022,-117.6883011,anonymous,EN,5bdbfad21195730001bde189,0,0,17.007,0,,,,,,,,,,,,,A great deal,A lot,A lot,,,,,,,,,,,,"It angered and frightened me, because such sights should not be common in one of the richest countries in the world.",Promoter,10,25 - 34,Male,Suburban,Lean Liberal,Moderately familiar,Probably yes,,634482034,5bdbfad21195730001bde189,5dd4a34135582248315dfdca,5dd4da5f2b033b4ad286febc
